docID,edinetCode,secCode,submitDateTime,periodStart,periodEnd,parentDocID
S1004OPF,E03859,88040,2015-05-14 13:51,2015-01-01,2015-03-31,
S1004OYA,E02800,50150,2015-05-14 13:52,2015-01-01,2015-03-31,
S1004P5Q,E02934,27000,2015-05-14 13:54,2015-01-01,2015-03-31,
S1004P61,E05349,,2015-05-14 14:06,2015-01-01,2015-03-31,
S1004OPG,E31354,39130,2015-05-14 14:09,2015-01-01,2015-03-31,
S1004NIS,E01716,64660,2015-05-14 14:11,2015-01-01,2015-03-31,
S1004OMS,E04515,95390,2015-05-14 14:13,2015-01-01,2015-03-31,
S1004OKS,E05163,48260,2015-05-14 14:13,2015-01-01,2015-03-31,
S1004P6J,E23465,78190,2015-05-14 14:15,2015-01-01,2015-03-31,
S1004P6K,E04058,,2015-05-14 14:17,2015-01-01,2015-03-31,
S1004OAW,E03419,,2015-05-14 14:17,2014-02-16,2015-02-15,
S1004OAD,E00423,,2015-05-14 14:18,2015-01-01,2015-03-31,
S1004P4N,E30898,31960,2015-05-14 14:19,2015-01-01,2015-03-31,
S1004OJJ,E02576,28740,2015-05-14 14:20,2015-01-01,2015-03-31,
S1004OCW,E02706,98420,2015-05-14 14:29,2014-02-21,2015-02-20,
S1004P0U,E05477,24360,2015-05-14 14:39,2015-01-01,2015-03-31,
S1004P03,E05609,24920,2015-05-14 14:39,2015-01-01,2015-03-31,
S1004OL2,E05470,95140,2015-05-14 15:00,2015-01-01,2015-03-31,
S1004O4T,E00678,81130,2015-05-14 15:00,2015-01-01,2015-03-31,
S1004OEQ,E03515,31970,2015-05-14 15:01,2015-01-01,2015-03-31,
S1004OI2,E02103,34360,2015-05-14 15:01,2015-01-01,2015-03-31,
S1004OVT,E31019,39000,2015-05-14 15:01,2015-01-01,2015-03-31,
S1004P8H,E03006,30760,2015-05-14 15:01,2015-01-01,2015-03-31,
S1004OST,E30856,36910,2015-05-14 15:01,2015-01-01,2015-03-31,
S1004ODZ,E26675,94190,2015-05-14 15:02,2015-01-01,2015-03-31,
S1004OXW,E04516,95430,2015-05-14 15:02,2015-01-01,2015-03-31,
S1004P0F,E05116,47760,2015-05-14 15:04,2015-01-01,2015-03-31,
S1004OFH,E22554,73140,2015-05-14 15:10,2015-01-01,2015-03-31,
S1004OCJ,E00707,94700,2015-05-14 15:12,2015-01-01,2015-03-31,
S1004P64,E05414,48090,2015-05-14 15:13,2015-01-01,2015-03-31,
S1004OXH,E30836,36900,2015-05-14 15:13,2015-01-01,2015-03-31,
S1004P8M,E24576,,2015-05-14 15:16,2015-01-01,2015-03-31,
S1004NBQ,E31343,60380,2015-05-14 15:16,2015-01-01,2015-03-31,
S1004O80,E01168,,2015-05-14 15:19,2015-01-01,2015-03-31,
S1004P2F,E01715,63380,2015-05-14 15:19,2015-01-01,2015-03-31,
S1004P5W,E30114,36810,2015-05-14 15:25,2015-01-01,2015-03-31,
S1004O2V,E05646,24980,2015-05-14 15:25,2015-01-01,2015-03-31,
S1004OLC,E03475,30280,2015-05-14 15:25,2015-01-01,2015-03-31,
S1004OP7,E00276,17710,2015-05-14 15:29,2015-01-01,2015-03-31,
S1004NIX,E23634,21950,2015-05-14 15:30,2015-01-01,2015-03-31,
S1004OH5,E01446,59870,2015-05-14 15:32,2015-01-01,2015-03-31,
S1004OSN,E22007,36880,2015-05-14 15:32,2015-01-01,2015-03-31,
S1004OJE,E03342,94410,2015-05-14 15:33,2015-01-01,2015-03-31,
S1004P1B,E05457,38070,2015-05-14 15:34,2015-01-01,2015-03-31,
S1004OV8,E30398,36830,2015-05-14 15:35,2015-01-01,2015-03-31,
S1004P8U,E05505,89450,2015-05-14 15:35,2015-01-01,2015-03-31,
S1004O95,E00248,19990,2015-05-14 15:36,2015-01-01,2015-03-31,
S1004OV4,E04518,,2015-05-14 15:38,2015-01-01,2015-03-31,
S1004P6O,E00937,49970,2015-05-14 15:40,2015-01-01,2015-03-31,
S1004OX2,E01867,68350,2015-05-14 15:40,2015-01-01,2015-03-31,
S1004OZG,E27815,31870,2015-05-14 15:40,2015-01-01,2015-03-31,
S1004P8G,E01589,67280,2015-05-14 15:44,2015-01-01,2015-03-31,
S1004OZ5,E05458,24280,2015-05-14 15:45,2015-01-01,2015-03-31,
S1004OUD,E02104,37820,2015-05-14 15:45,2015-01-01,2015-03-31,
S1004P9H,E26869,93860,2015-05-14 15:45,2015-01-01,2015-03-31,
S1004P9M,E05069,47480,2015-05-14 15:46,2015-01-01,2015-03-31,
S1004P8Z,E05340,37120,2015-05-14 15:47,2015-01-01,2015-03-31,
S1004OLX,E02346,66770,2015-05-14 15:48,2015-01-01,2015-03-31,
S1004NFN,E05036,47250,2015-05-14 15:51,2015-01-01,2015-03-31,
S1004PA4,E05631,24990,2015-05-14 15:53,2015-01-01,2015-03-31,
S1004P4K,E23487,45750,2015-05-14 15:57,2015-01-01,2015-03-31,
S1004OPH,E01671,64110,2015-05-14 16:00,2015-01-01,2015-03-31,
S1004OP0,E31070,78160,2015-05-14 16:00,2015-01-01,2015-03-31,
S1004P7I,E02762,99410,2015-05-14 16:01,2015-01-01,2015-03-31,
S1004ORM,E02937,,2015-05-14 16:03,2015-01-01,2015-03-31,
S1004OUY,E05233,43200,2015-05-14 16:04,2015-01-01,2015-03-31,
S1004OVE,E03219,99760,2015-05-14 16:05,2014-02-21,2015-02-20,
S1004PBK,E21183,45780,2015-05-14 16:11,2015-01-01,2015-03-31,
S1004PAH,E22663,21930,2015-05-14 16:11,2015-01-01,2015-03-31,
S1004OKV,E02468,,2015-05-14 16:12,2015-01-01,2015-03-31,
S1004O8O,E05453,37580,2015-05-14 16:12,2015-01-01,2015-03-31,
S1004P4Q,E05351,23700,2015-05-14 16:13,2015-01-01,2015-03-31,
S1004P0P,E05033,47220,2015-05-14 16:14,2015-01-01,2015-03-31,
S1004OU1,E25269,45790,2015-05-14 16:29,2015-01-01,2015-03-31,
S1004PAM,E05293,23110,2015-05-14 16:29,2015-01-01,2015-03-31,
S1004OSX,E23818,31780,2015-05-14 16:30,2015-01-01,2015-03-31,
S1004OXK,E01070,,2015-05-14 16:30,2015-01-01,2015-03-31,
